epoch,acc,loss,val_acc,val_loss
0,0.6139767227821461,0.73384655016829292,0.54500001271565757,0.94099124272664392
1,0.67653911419200419,0.61649011130539233,0.52000001023213072,1.1933443496624629
2,0.69084859922801001,0.58528226100267866,0.52500001465280854,1.079062964518865
3,0.73178037826511111,0.54633251050744402,0.62500001738468802,0.75280206426978113
4,0.72013312451256295,0.54536862645589568,0.57333334783713019,0.84448947956164677
5,0.74808653339173359,0.50528614762767576,0.57333334734042485,1.0440543721119562
6,0.76738769670889495,0.48511523919276112,0.62500001912315684,0.83722886368632321
7,0.77404327081166169,0.47223415173429023,0.62333335032065706,0.87290541877349215
8,0.77737105571093057,0.46386303459348377,0.70333334406216941,0.63083884567022319
9,0.79168053887251411,0.44088761115232838,0.5966666812698046,0.95779956231514618
10,0.80000000632741486,0.43371539375250429,0.59500001569588978,0.96293126692374542
11,0.80865224948937009,0.41726489366340558,0.58166667918364212,1.091121103366216
12,0.80865225044145761,0.40996085522377151,0.61500001636644208,1.0304440960288048
13,0.83128120032404107,0.38353407975788323,0.66000001678864162,0.86544038268427059
14,0.82296173392040362,0.38084100205668198,0.63500002076228457,0.85564778149127962
15,0.83760399612134784,0.35966852094091711,0.68333335270484286,0.77449074399967988
16,0.8492512489317261,0.34050571067807284,0.63500001728534694,1.0271448880434035
17,0.84825291296408301,0.35078062596614668,0.68166668117046358,0.77195880686243379
18,0.86189683739238487,0.32228826939464605,0.63833335091670351,1.1086369698246321
19,0.86888519192297331,0.31019192658575523,0.64500001582006616,1.0291394448528688
20,0.85757071598992374,0.32034599741614006,0.60000002036492028,1.1453614309430122
21,0.87620631915063107,0.29403808247948843,0.61500001897414525,1.2091788999736308
22,0.87254575580209737,0.29691995883270628,0.66166668385267258,0.93733247121175134
23,0.87953410850785141,0.28879503340967089,0.69333334838350613,0.84895543083548541
24,0.87687187815664613,0.28651241625406582,0.64500001768271131,1.0268152286609014
